set_num,name,num_parts
1163-1,TECHNIC Pneumatic Piston Cylinder 60mm,1
1164-1,TECHNIC Pneumatic 2 Way Valve and Nonreturn Valve,2
1168-1,Battery Box,1
1169-1,Bogie Plates,2
1170-1,Replacement Train Battery Tender,2
117-1,Locomotive without Motor,99
1171-1,Lighting Brick with Red and Blue Globes,5
1172-1,Colored Globes,5
1174-1,Motorhome for Basic Motor 4.5V/Train Motor 12V,2
1175-1,4.5v TECHNIC Motor,1
1176-1,Gear Racks and Turntables,6
1177-1,Santa In Truck with Polar Bear,26
1178-1,"Siren, Black",1
1179-1,Replacement Space Siren,1
1180-1,Space Port Moon Buggy,25
118-1,Electronic Train,103
1181-1,Space Port Spacecraft,23
118-2,Small Train Set,117
1182-1,Adventurers Raft,18
118-3,Motorized Freight or Passenger Train (Sears Exclusive),419
1183-1,Mummy and Cart,17
1184-1,Cart,24
1185-1,Raft,25
1186-1,Cart,25
1187-1,Glider,23
1188-1,Fire Formula,38
1189-1,Rocket Boat,30
1190-1,Retro Buggy,90
11905-1,DK Star Wars Brickmaster: Battle For The Stolen Crystals,189
11908-1,Build Your Own Adventure with Liza Mini-Doll and Touring Car,77
11909-1,Lego Ninjago: Build Your Own Adventure,74
119-1,Super Train Set,401
11910-1,Micro-Scale Space Cruiser,102
1191-1,Try Bird,34
11912-1,LEGO Star Wars: Build Your Own Adventure,73
1194-1,Classic Building Table,408
1195-1,Alien Encounter,42
1196-1,Biker with Bicycle,7
1197-1,Telekom Race Cyclist and Television Motorbike,30
1197-2,Crown Gears,2
1198-1,Service Team - 2 Bikers with Service Tools,76
1199-1,Winning Team,110
11995-1,Hero Recon Team,0
1200-1,"LEGO Town Plan Board, Large Plastic",1
1200-2,"LEGO Town Plan Board, Small Plastic",1
1200M-1,LEGO Town Plan Wooden Board,1
120-1,Complete Freight Train Set with Tipper Trucks,163
1202-1,racer polybag,1
1203-1,"Turntables (4 x 4), Turntables (2 x 2)",8
1204-1,"Fences, Red and Black",10
120438-1,Basic Building Set,176
1205-1,Keys for Wind-Up Motor,2
1206-1,"Round Bricks (2 x 2), White",10
1207-1,"Turntables (4 x 4), Red",2
1208-1,"Inverted Slope Bricks, Assorted, Red",16
1209-1,Fences and Gates,10
1-Dec,Blue Space Elements,8
1210-1,Winch Block and Hook Assembly,3
1210-2,Small Store Set,30
121-1,Roadster,23
1211-1,Space Stands and Brackets,8
1211-2,Small House Set,19
1212-1,"Rocket Tops, Black",6
1212-2,Small House - Left Set,21
1213-1,Space Radar Disks,5
1213-2,Small House - Right Set,23
1214-1,Upper Part of Motorhome for 4.5V/12V Trainmotor,1
1214-2,Windows and Doors,24
1215-1,Train Motor 4.5V Type II Lower Housing,1
1215-2,2 x 8 & 2 x 10 Bricks,20
1216-1,Semaphores with Feet,8
1216-2,4 x 4 Corner Bricks,20
1217-1,Yellow Girder Beams & Plates,20
1217-2,2 x 4 Bricks,52
1218-1,Blue Girder Beams & Plates,20
1218-2,2 x 3 Bricks,60
1219-1,TECHNIC Beams & Plates [Red],20
1219-2,2 x 2 Bricks,80
1220-1,Black Girder Beams & Plates,20
1220-2,1 x 2 Bricks,104
122-1,Loco and Tender,96
1221-1,TECHNIC beams - yellow,8
1221-2,1 x 1 Bricks,160
1222-1,TECHNIC beams - blue,8
1222-2,1 x 1 Round Bricks,200
1223-1,TECHNIC beams - black,8
1223-2,2 x 2 & 2 x 4 Curved Bricks,14
1223-3,2 x 2 Curved Bricks,100
1224-1,TECHNIC Beams [Red],8
1224.1-1,8 Danish Named Beams,8
1224-2,8 Named Beams,8
1224A-1,1 x 6 and 1 x 8 Bricks,36
1225-1,Assortment of Axles,32
1225-2,Mixed Plates Parts Pack,12
1226-1,Tractor Tires & Hubs,12
1226-2,6 x 8 & 2 x 8 Plates,4
1227-1,Gear Wheel Assortment,15
1227-2,4 x 8 & 2 x 8 Plates,5
1228-1,Differential Gear Housing,28
1228-2,4 x 8 Curved & 2 x 8 Plates,5
1229-1,TECHNIC Chainlinks,70
3-Dec,Wheel Bearings for Locomotives,2
1230-1,TECHNIC Bulldozer Chainlinks,54
1230-2,Windows and Door without Glass,7
123-1,Passenger Coach,98
1231-1,X-Large Tires & Hubs,4
1231-2,"Windows and Door with Glass, Red",10
1231-3,"Windows and Door with Glass, White",10
1232-1,Toggle Joints & Connectors,46
1233-1,Axle Assortment,34
1233-2,Light Masts,4
1234-1,Gear Wheel Assortment,21
1234-3,"Replacement Gearbox for Electric, Motor 4.5V/12V Type II 12 x 4 x 3 1/3",1
1235-1,Differential Gear Housing,19
1235-2,Garage Plate and Door,3
1236-1,TECHNIC wheels with hubs,4
1236-2,Garage,59
1236-3,12V Technic Motor,1
1237-1,Honda Promotional Set,55
1239-1,Subzero,4
1239-2,Remote Control for Electric Points,8
1240-1,"Hinges and Tilted Bearings, Light Gray",16
1240-2,8 Road Signs,8
124-1,Goods Wagon,56
1241-1,Digger Bucket Assembly,4
1241-2,8 Road Signs,8
1242-1,Crane Grab and Winch,4
1242-2,International Flags,5
1242D-1,5 Danish Flags,5
1243-1,Hinges and Couplings,9
1244-1,Runway Plates,2
